# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
jian li lian jie 	建立連接	c=1 d=1 t=5579
jian li qi 	建立起	c=0 d=0.1 t=4435
jian li qi le 	建立起了	c=1 d=1 t=4436
jian li yi ge 	建立一個	c=1 d=1 t=16373
jian liang 	見諒	c=1 d=1 t=294
jian mo 	建模	c=1 d=1 t=13512
jian ni 	見你	c=0 d=0.1 t=14533
jian pai 	減排	c=0 d=0.1 t=15249
jian pan 	鍵盤	c=1 d=1 t=11717
jian piao 	檢票	c=1 d=1 t=2429
jian qiang 	堅強	c=0 d=0.1 t=11666
jian qu 	減去	c=1 d=1 t=7254
jian ren jian zhi 	見仁見智	c=1 d=1 t=2193
jian rong 	兼容	c=0 d=0.116948 t=3195
jian rong can shu 	兼容參數	c=1 d=1 t=2841
jian rong xian 	兼容線	c=1 d=1 t=3196
jian shao 	減少	c=3 d=1.10409 t=5872
jian shi 	見識	c=1 d=1 t=14221
jian shu 	簡述	c=0 d=0.1 t=5232
jian su 	減速	c=1 d=1 t=2515
jian suo 	檢索	c=1 d=1 t=13418
jian ting 	監聽	c=2 d=1.99005 t=10490
jian xue 	儉學	c=0 d=0.1 t=16121
jian yi 	建議	c=2 d=1.00083 t=1818
jian zhang 	簡章	c=2 d=1.66698 t=5170
jian zhi 	簡直	c=2 d=1 t=17406
jian zhi 	鍵值	c=1 d=1 t=14614
jian zhi yao bei 	簡直要被	c=1 d=1 t=1466
jian zhuang xing 	健壮性	c=1 d=1 t=4559
jiang 	將	c=15 d=1.57231 t=17481
jiang 	獎	c=2 d=1.83527 t=8629
jiang 	講	c=3 d=0.1 t=15285
jiang 	醬	c=1 d=1 t=2804
jiang dian 	講點	c=1 d=1 t=7689
jiang hui 	將會	c=1 d=1 t=17281
jiang hui bei 	將會被	c=1 d=1 t=6807
jiang ji 	降級	c=2 d=1.96561 t=3076
jiang jiang 	講講	c=1 d=1 t=10679
jiang jiu 	將就	c=0 d=0.1 t=3310
jiang jiu yi xia 	將就一下	c=1 d=1 t=3311
jiang lu xu 	將陸續	c=1 d=1 t=1892
jiang man hua 	講漫畫	c=1 d=1 t=11885
jiang mou yi ge 	講某一個	c=1 d=1 t=15286
jiang shi 	殭屍	c=1 d=1 t=151
jiang su 	江蘇	c=1 d=1 t=14531
jiang su ren 	江蘇人	c=1 d=1 t=12483
jiang yuan shu ju 	將原數據	c=1 d=1 t=5270
jiao 	叫	c=1 d=1 t=6802
jiao 	教	c=1 d=1 t=3387
jiao 	焦	c=2 d=1 t=9346
jiao ben 	腳本	c=10 d=3.33832 t=8518
jiao cheng 	教程	c=4 d=1 t=16181
jiao dao 	教導	c=0 d=0.1 t=16345
jiao de 	教的	c=1 d=1 t=11859
jiao duan 	較短	c=1 d=1 t=5247
jiao gao 	較高	c=0 d=0.1 t=5260
jiao ge 	交割	c=0 d=0.1 t=1559
jiao ge ge 	焦割割	c=1 d=1 t=13066
jiao guo lai 	叫過來	c=1 d=1 t=14319
jiao hu 	交互	c=2 d=1.92774 t=16616
jiao huan 	交換	c=4 d=3.37275 t=5564
jiao ji 	交集	c=3 d=1 t=14210
jiao jiao 	教教	c=1 d=1 t=10549
jiao jie 	嬌姐	c=10 d=1.04352 t=16690
jiao liu 	交流	c=0 d=0.1 t=2886
jiao liu yi xia 	交流一下	c=1 d=1 t=2887
jiao luo 	角落	c=1 d=1 t=12656
jiao ni 	教你	c=1 d=1 t=7646
jiao pian 	膠片	c=0 d=0.1 t=15042
jiao pian yi 	膠片一	c=1 d=1 t=15043
jiao qian 	交錢	c=1 d=1 t=8556
jiao qing 	矯情	c=1 d=1 t=12803
jiao shi 	教室	c=1 d=1 t=3252
jiao shi 	教師	c=4 d=1.18919 t=16009
jiao tong 	交通	c=3 d=2.41008 t=9361
jiao wo 	叫我	c=1 d=1 t=16681
jiao wu 	教務	c=1 d=0.1 t=14229
jiao wu chu 	教務處	c=1 d=1 t=2605
jiao wu mi shu 	教務祕書	c=1 d=1 t=8535
jiao wu xi tong 	教務系統	c=1 d=1 t=14230
jiao xiao 	較小	c=1 d=1.06313 t=5340
jiao xue 	教學	c=4 d=1.99005 t=17567
jiao xue lou 	教學樓	c=2 d=1.98511 t=3753
jiao yi 	交易	c=13 d=1 t=15044
jiao yi dui fang 	交易對方	c=5 d=1 t=15271
jiao yi lei xing 	交易類型	c=1 d=1 t=10511
jiao yi shi jian 	交易时间	c=1 d=1 t=8829
jiao yu 	教育	c=4 d=3.14823 t=9363
jiao yu ke cheng 	教育課程	c=1 d=1 t=3385
jiao zi 	餃子	c=1 d=1 t=16924
jie 	姐	c=1 d=1.02592 t=9801
jie 	截	c=0 d=0.1 t=9066
jie 	接	c=1 d=1 t=16853
jie 	節	c=1 d=1 t=7155
jie 	街	c=0 d=0.1 t=3214
jie 	階	c=3 d=3.0403 t=4851
jie bu kai guo 	揭不開鍋	c=1 d=1 t=18209
jie cheng 	階乘	c=1 d=1 t=11918
jie chu lai 	截出來	c=1 d=1 t=9067
jie da 	解答	c=0 d=0.1 t=14938
jie dai 	借貸	c=3 d=2.98506 t=9558
jie dan 	接單	c=1 d=1 t=10565
jie dao 	街道	c=1 d=1 t=2993
jie dian 	節點	c=3 d=1 t=15714
jie duan 	截斷	c=1 d=0.1 t=14960
jie duan 	階段	c=1 d=1 t=14962
jie duan xing 	階段性	c=1 d=1 t=239
jie feng 	解封	c=1 d=1 t=1455
jie fu 	姐夫	c=1 d=1 t=9129
jie ge 	傑哥	c=2 d=1.57121 t=15850
jie gou 	結構	c=52 d=1 t=17720
jie gou guan xi 	結構關係	c=4 d=2.12071 t=4904
jie gou hua 	結構化	c=4 d=3.18609 t=5884
jie gou ti 	結構體	c=2 d=1.956 t=4065
jie guo 	結果	c=11 d=1.00009 t=14766
jie he 	結合	c=1 d=1 t=11073
jie hun 	結婚	c=2 d=1.93239 t=13965
jie jie 	姐姐	c=2 d=1.84789 t=15435
jie jie jia 	姐姐家	c=1 d=1 t=1852
jie jin 	竭盡	c=0 d=0.1 t=12321
jie jin quan li 	竭盡全力	c=0 d=0.1 t=12303
jie jin zi ji 	竭盡自己	c=1 d=1 t=12322
jie jing 	結晶	c=1 d=1 t=5829
jie jue 	解決	c=7 d=1.00122 t=17654
jie jue de 	解決的	c=0 d=0.1 t=12865
jie jue fang an 	解決方案	c=1 d=1 t=17639
jie jue ge 	解決個	c=1 d=1 t=11698
jie kou 	接口	c=11 d=2.9808 t=15516
jie kou zhong duan 	接口終端	c=1 d=1 t=5243
jie le 	接了	c=1 d=1 t=16841
jie ma 	解碼	c=8 d=3.78008 t=17698
jie mi 	解密	c=1 d=1 t=15711
jie mian 	界面	c=1 d=1 t=1921
jie ni 	借你	c=0 d=0.1 t=14308
jie ni 	接你	c=1 d=1 t=16807
jie pou 	解剖	c=1 d=1 t=9189
jie ri 	節日	c=1 d=1 t=3986
jie shao 	介紹	c=8 d=3.72053 t=16329
jie sheng 	節省	c=1 d=1 t=8969
jie shi 	解釋	c=1 d=0.107242 t=6147
jie shou 	接受	c=0 d=0.1 t=5297
jie shou 	接收	c=4 d=1.07603 t=10647
jie shou bu liao 	接收不了	c=1 d=1 t=5602
jie shou duan 	接收端	c=2 d=0.871052 t=10658
jie shu 	結束	c=3 d=1.00699 t=4513
jie shu le 	結束了	c=1 d=1 t=2905
jie suo 	解鎖	c=1 d=1 t=9283
jie tiao 	借條	c=1 d=1 t=9560
jie tu 	截圖	c=2 d=1.07531 t=16022
jie wei 	結尾	c=1 d=1 t=3045
jie wo 	借我	c=1 d=1 t=16024
jie xi 	解析	c=8 d=1.91894 t=16665
jie xia lai 	接下來	c=1 d=1 t=17227
jie ya 	解壓	c=1 d=1 t=8303
jie yue 	借閱	c=0 d=0.1 t=12024
jie yue quan 	借閱券	c=1 d=1 t=12025
jie zhe 	接着	c=1 d=1 t=13219
jie zhi 	截至	c=1 d=1.09704 t=7341
jie zhu 	藉助	c=1 d=1 t=17600
jie zou 	節奏	c=2 d=1.99501 t=15122
jin 	近	c=0 d=0.1 t=6734
jin 	進	c=1 d=1.00002 t=16174
jin bu 	進步	c=0 d=0.1 t=9818
jin bu jin 	近不近	c=1 d=1 t=6735
jin bu le 	進步了	c=1 d=1 t=9819
jin cheng 	進程	c=2 d=1.49659 t=292
jin e 	金額	c=1 d=1.00001 t=8836
jin gang 	金剛	c=2 d=1.00034 t=10422
jin gong can kao 	僅供參考	c=1 d=1 t=15119
jin guan 	儘管	c=3 d=1 t=17802
jin ji 	緊急	c=1 d=1 t=71
jin lai 	進來	c=1 d=1 t=4108
jin li 	盡力	c=0 d=0.1 t=15205
jin li kao 	盡力考	c=1 d=1 t=15206
jin li le 	盡力了	c=0 d=0.1 t=12294
jin liang 	儘量	c=2 d=1 t=17700
jin nian 	今年	c=1 d=0.405746 t=15673
jin nian bu xing 	今年不行	c=1 d=1 t=2846
jin nian huo ming nian 	今年或明年	c=1 d=1 t=15674
jin qin shi 	進寢室	c=1 d=1 t=14450
jin qiu 	金秋	c=0 d=0.1 t=7381
jin qu 	進去	c=1 d=1 t=3782
jin quan li 	盡全力	c=0 d=0.1 t=12826
jin ren shi 	盡人事	c=2 d=1.94649 t=16943
jin ri 	今日	c=0 d=0.1 t=7538
jin ri xiao yuan 	今日校園	c=1 d=1 t=7539
jin rong 	金融	c=1 d=1 t=9242
jin se 	金色	c=1 d=1 t=669
jin she kuang wu 	金蛇狂舞	c=1 d=1 t=15523
jin shui 	進水	c=0 d=0.1 t=11668
jin tian 	今天	c=11 d=1.00003 t=18069
jin tian hao le 	今天好了	c=1 d=1 t=15503
jin tian jiu 	今天就	c=1 d=1 t=2835
jin tian jiu you 	今天就有	c=1 d=1 t=987
jin tian kai shi 	今天開始	c=1 d=1 t=10828
jin tian shi 	今天是	c=1 d=1 t=10826
jin tian xia yu 	今天下雨	c=1 d=1 t=15300
jin tian zai 	今天在	c=1 d=1 t=12056
jin xing 	進行	c=23 d=4.14385 t=17855
jin xing geng gai 	進行更改	c=1 d=1 t=17856
jin xing guo lv 	進行過濾	c=1 d=1 t=17632
jin xing le 	進行了	c=3 d=1.82283 t=17615
jin xing rao guo 	進行繞過	c=1 d=1 t=17490
jin xing xia zai 	進行下載	c=1 d=1 t=3204
jin yong 	僅用	c=1 d=1 t=5969
jin zhi 	進制	c=1 d=1 t=11727
jing 	景	c=1 d=1 t=15536
jing chang 	經常	c=1 d=1 t=9102
jing dong 	京東	c=2 d=1 t=9550
jing gao 	警告	c=8 d=2.18564 t=17525
jing hun 	驚魂	c=0 d=0.1 t=3767
jing jian 	精簡	c=1 d=1 t=17704
jing jing 	靜靜	c=0 d=0.1 t=10944
jing jing gan shou 	靜靜感受	c=1 d=1 t=10945
jing li 	精力	c=1 d=1 t=9973
jing li 	經歷	c=4 d=1.00284 t=14055
jing li sha 	經歷啥	c=1 d=1 t=2654
jing que 	精確	c=1 d=1 t=4540
jing ran 	竟然	c=3 d=1.00885 t=10630
jing shen zhuang tai 	精神狀態	c=0 d=0.1 t=15442
jing shi 	竟是	c=0 d=0.1 t=12518
jing tai 	靜態	c=9 d=3.84909 t=10680
jing tou 	鏡頭	c=0 d=0.1 t=2347
jing tou de 	鏡頭的	c=1 d=1 t=2348
jing wang 	淨網	c=2 d=1.99005 t=7601
jing wei du 	經緯度	c=2 d=1.99005 t=2999
jing xi 	驚喜	c=1 d=1 t=16832
jing xiang 	鏡像	c=3 d=1 t=3776
jing xin dong po 	驚心動魄	c=1 d=1 t=12632
jing ying 	精英	c=0 d=0.1 t=9520
jing yue 	淨月	c=1 d=1 t=10749
jing yue tan 	净月潭	c=1 d=1 t=16204
jiu 	就	c=34 d=1.07232 t=17886
jiu 	酒	c=1 d=1 t=9330
jiu bai tuo le 	就拜託了	c=1 d=1 t=14680
jiu ban wan le 	就搬完了	c=1 d=1 t=10454
jiu bei 	就被	c=1 d=1 t=4030
jiu bei 	酒杯	c=1 d=1 t=5196
jiu bi ru 	就比如	c=1 d=1 t=2132
jiu bian de 	就變得	c=1 d=1 t=12285
jiu bing mei you 	就並沒有	c=1 d=1 t=16847
jiu bu 	就不	c=0 d=0.148336 t=14202
jiu bu shi 	就不是	c=1 d=1 t=1602
jiu bu xiang 	就不想	c=1 d=1 t=13948
jiu bu xiao de 	就不曉得	c=1 d=1 t=14203
jiu bu xing 	就不行	c=1 d=1 t=14372
jiu bu yong 	就不用	c=1 d=1 t=8202
jiu bu yong dan xin 	就不用擔心	c=1 d=1 t=15208
jiu bu zhi dao 	就不知道	c=2 d=1 t=15781
jiu cha 	就差	c=1 d=1 t=14296
jiu chan 	糾纏	c=0 d=0.1 t=12820
jiu chao qi lai le 	就吵起來了	c=1 d=1 t=2374
jiu chu lai 	就出來	c=1 d=1 t=2530
jiu cong 	就從	c=1 d=1 t=10748
jiu cun hua ting 	九寸花汀	c=1 d=1 t=9535
jiu de 	酒的	c=0 d=0.1 t=2901
jiu de ming zi 	酒的名字	c=1 d=1 t=2902
jiu deng zhe 	就等着	c=1 d=1 t=15249
jiu dian 	酒店	c=3 d=1.00004 t=15852
jiu fa bu le 	就發佈了	c=1 d=1 t=2372
jiu fen 	就分	c=1 d=0.1 t=16897
jiu fen xiang yi xia 	就分想一下	c=1 d=1 t=16898
jiu gei wo 	就給我	c=1 d=1 t=2671
jiu hao 	就好	c=4 d=1.43429 t=17138
jiu hao le 	就好了	c=6 d=1.00017 t=17062
jiu hen 	就很	c=3 d=0.119692 t=15303
jiu hen hao 	就很好	c=1 d=1 t=10068
jiu hen kai xin 	就很開心	c=1 d=1 t=15304
jiu hen qi 	就很氣	c=1 d=1 t=14483
jiu hen yuan 	就很冤	c=1 d=1 t=12745
jiu hui 	就會	c=7 d=1.00177 t=16478
jiu hui bian de 	就會變得	c=1 d=1 t=12805
jiu hui gan jue 	就會感覺	c=1 d=1 t=2460
jiu hui hen nan guo 	就會很難過	c=1 d=1 t=10049
jiu hui hen yan ge 	就會很嚴格	c=1 d=1 t=2443
jiu hui jue de 	就會覺得	c=1 d=1 t=11362
jiu jin tian 	就今天	c=1 d=1 t=2767
jiu jiu 	九九	c=1 d=1 t=3027
jiu jiu hai zi 	救救孩子	c=1 d=1 t=14879
jiu jue de 	就覺得	c=3 d=1.00423 t=16986
jiu kan 	就看	c=0 d=0.1 t=15645
jiu kan dao 	就看到	c=1 d=1 t=16722
jiu kan dao le 	就看到了	c=1 d=1 t=15769
jiu kan ni fa ei you quan 	就看你發欸有權	c=1 d=1 t=15646
jiu ke yi 	就可以	c=11 d=1 t=12130
jiu ke yi le 	就可以了	c=1 d=1 t=3788
jiu ke yi zai 	就可以在	c=1 d=1 t=433
jiu lei si 	就類似	c=1 d=1 t=2002
jiu leng 	就冷	c=1 d=1 t=9874
jiu mei 	就沒	c=3 d=1 t=15659
jiu mei guo 	就沒過	c=1 d=1 t=12392
jiu mei le 	就沒了	c=1 d=1 t=1173
jiu nan shou 	就難受	c=1 d=1 t=1485
jiu neng 	就能	c=5 d=1.00025 t=12877
jiu ni 	就你	c=0 d=0.1 t=11849
jiu ni 	救溺	c=1 d=1 t=11849
jiu ni yuan yi cai 	就你願意猜	c=1 d=1 t=11850
jiu pa 	就怕	c=1 d=1 t=6560
jiu pao 	就跑	c=1 d=1 t=9835
jiu qi ren 	就氣人	c=1 d=1 t=16864
jiu qu 	就去	c=0 d=0.1 t=2379
jiu rang ni 	就讓你	c=2 d=1 t=17119
jiu shi 	就是	c=62 d=3.18262 t=18178
jiu shi ni 	就是你	c=1 d=1 t=3112
jiu shi shi 	就試試	c=1 d=1 t=15689
jiu shi shuo 	就是說	c=1 d=1 t=16134
jiu shi xian 	就實現	c=1 d=1 t=2037
jiu shi you dian 	就是有點	c=1 d=1 t=3808
jiu shui 	酒水	c=1 d=1 t=9331
jiu shuo 	就說	c=4 d=1 t=16115
jiu suan le 	就算了	c=1 d=1 t=663
jiu tai 	九臺	c=0 d=0.1 t=2464
jiu tai 	就太	c=1 d=1 t=2466
jiu tai ma fan le 	九臺麻煩了	c=1 d=1 t=2465
jiu ti sheng 	就提升	c=1 d=1 t=2179
jiu ting kuai 	就挺快	c=1 d=1 t=6672
jiu wan le 	就晚了	c=1 d=1 t=15195
jiu wang le 	就忘了	c=1 d=1 t=2233
jiu wo 	就我	c=1 d=1 t=9105
jiu xiang 	就像	c=7 d=1.0002 t=17010
jiu xiang 	就想	c=0 d=0.1 t=13922
jiu xiang qi wo le 	就想起我了	c=1 d=1 t=13923
jiu xiang wo 	就像我	c=1 d=1 t=2143
jiu xie 	就寫	c=1 d=1 t=605
jiu xing 	就行	c=4 d=0.1 t=15332
jiu xing le 	就行了	c=7 d=1.57021 t=18014
jiu yao 	就要	c=3 d=1 t=14440
jiu yao kai xue 	就要開學	c=1 d=1.09005 t=829
jiu yao kai xue le 	就要開學了	c=1 d=1 t=830
jiu yi ge 	就一個	c=1 d=1 t=1770
jiu yi miao 	就一秒	c=1 d=1 t=1172
jiu ying gai 	就應該	c=1 d=1 t=12505
jiu yong 	就用	c=1 d=1 t=14580
jiu you 	就有	c=1 d=1 t=5378
jiu you le 	就有了	c=2 d=1.00007 t=10093
jiu zai 	就在	c=4 d=1.81077 t=14503
jiu zai cai 	就在猜	c=1 d=1 t=983
jiu zai zhe li 	就在這裏	c=1 d=1 t=10132
jiu zhao 	就找	c=1 d=1 t=17076
jiu zhe teng qi lai 	就折騰起來	c=1 d=1 t=1499
jiu zhe yang 	就這樣	c=5 d=1.03304 t=10446
jiu zhi dao 	就知道	c=2 d=1 t=16702
jiu zhi jie 	就直接	c=1 d=1 t=16103
jiu zhun bei 	就準備	c=1 d=1 t=6444
jiu zi ji 	就自己	c=0 d=0.1 t=15307
jiu zi ji yi ge ren 	就自己一個人	c=1 d=1 t=15308
ju 	局	c=0 d=0.1 t=15486
ju 	據	c=1 d=1 t=2256
ju ban 	舉辦	c=1 d=1 t=3760
ju bu 	局部	c=1 d=1 t=6023
ju bu bian liang 	局部变量	c=1 d=1 t=5975
ju bu hua 	局部化	c=1 d=1 t=5956
ju de 	局地	c=0 d=0.1 t=13194
ju ge 	舉個	c=0 d=0.1 t=7148
ju lei 	聚類	c=0 d=0.1 t=5781
ju li 	舉例	c=1 d=1 t=4269
ju li 	距離	c=0 d=0.1 t=267
ju ma 	拒馬	c=0 d=0.1 t=15541
ju ma he 	拒馬河	c=1 d=1 t=15542
ju qing 	劇情	c=1 d=1.09802 t=6906
ju sang 	沮喪	c=1 d=1 t=12286
ju ti 	具體	c=4 d=1 t=14699
ju ti ruan jian 	具體軟件	c=1 d=1 t=11969
ju xing 	矩形	c=1 d=1 t=15641
ju you 	具有	c=1 d=0.194894 t=6279
ju yu wang 	局域網	c=1 d=1 t=179
ju zhen 	矩陣	c=2 d=0.1 t=4824
ju zhong 	劇中	c=1 d=1 t=1074
ju zi 	句子	c=1 d=1 t=15426
juan zeng 	捐贈	c=3 d=2.98506 t=9508
jue de 	覺得	c=11 d=1.74187 t=17123
jue ding 	決定	c=1 d=0.1 t=17136
jue dui 	絕對	c=1 d=1 t=3631
jue dui lu jing 	绝对路径	c=1 d=1 t=3628
jue le 	絕了	c=3 d=1.00065 t=7959
jun 	君	c=1 d=0.1 t=11730
jun 	均	c=0 d=0.1 t=772
jun shi 	軍事	c=1 d=1 t=16209
jun wu fa 	均無法	c=1 d=1 t=773
ka 	卡	c=2 d=1 t=14533
ka 	咖	c=1 d=1 t=8917
ka bei 	卡背	c=1 d=1 t=641
ka ni 	卡尼	c=1 d=1 t=8146
ka nuo tu 	卡诺图	c=2 d=1.98511 t=14773
ka pai 	卡牌	c=2 d=1 t=10410
ka pian 	卡片	c=8 d=0.1 t=13413
ka pian nei ge zhi 	卡片內閣制	c=1 d=1 t=13414
ka te 	卡特	c=0 d=0.1 t=325
ka te lin na 	卡特琳娜	c=1 d=1 t=326
kai 	開	c=2 d=0.100001 t=7457
kai chang bai 	開場白	c=1 d=1 t=838
kai dao 	開到	c=1 d=1 t=11184
kai fa 	開發	c=4 d=1 t=17425
kai fa zhe 	開發者	c=4 d=1.98511 t=17386
kai hui 	開會	c=1 d=1 t=15826
kai hui yuan 	開會員	c=1 d=1 t=7458
kai kou 	開口	c=0 d=0.1 t=11470
kai le 	開了	c=1 d=1 t=11144
kai pi 	開闢	c=2 d=1.97531 t=8971
kai qi 	開啓	c=3 d=1 t=4633
kai shi 	開始	c=17 d=1.28021 t=15732
kai shi jie duan 	開始截斷	c=1 d=1 t=14961
kai shi le 	開始了	c=1 d=1 t=7600
kai shou 	開售	c=0 d=0.1 t=1170
kai tou 	開頭	c=1 d=1 t=3566
kai wan xiao 	開玩笑	c=1 d=1 t=14322
kai wan xiao de 	開玩笑的	c=2 d=1 t=14649
kai xiao 	開銷	c=1 d=1 t=8979
kai xin 	開心	c=5 d=1.00003 t=16970
kai xin jiu hao 	開心就好	c=1 d=0.1 t=17022
kai xing li xiang de hua 	開行李箱的話	c=1 d=1 t=2464
kai xue 	開學	c=2 d=1.00005 t=3261
kai xue le 	開學了	c=1 d=1.0207 t=3012
kai xue shang huo 	開學上火	c=1 d=1 t=1165
kai yuan 	開源	c=1 d=1 t=6957
kan 	看	c=12 d=0.301205 t=16776
kan 	砍	c=0 d=0.1 t=619
kan ba 	看吧	c=2 d=1.00546 t=3901
kan bei 	看唄	c=1 d=1 t=15229
kan bu dao 	看不到	c=1 d=0.1 t=13872
kan bu dong 	看不懂	c=0 d=0.1 t=7680
kan bu liao 	看不了	c=1 d=1 t=2597
kan chu lai le 	看出來了	c=1 d=1 t=12100
kan dao 	看到	c=12 d=1.35812 t=17785
kan dao le 	看到了	c=1 d=0.1 t=15768
kan dao ni 	看到你	c=0 d=0.1 t=10850
kan dao ni le 	看到你了	c=1 d=1 t=10851
kan dian shi ju 	看電視劇	c=1 d=1 t=2632
kan dian ying 	看電影	c=0 d=0.1 t=12466
kan dong 	看懂	c=1 d=1 t=11082
kan fa 	看法	c=0 d=0.1 t=12408
kan fa bu yi yang ba 	看法不一樣把	c=1 d=1 t=12409
kan fang zi 	看房子	c=1 d=1 t=13812
kan fen shu 	看分數	c=1 d=1 t=14360
kan ge 	看個	c=1 d=1 t=3016
kan jie xi 	看解析	c=1 d=1 t=15424
kan jing shen zhuang tai 	看精神狀態	c=1 d=1 t=15443
kan kan 	看看	c=14 d=1.59866 t=18006
kan kan jia ge 	看看價格	c=1 d=1 t=17973
kan kan na 	看看那	c=1 d=1 t=10535
kan lai 	看來	c=2 d=1 t=18204
kan lai mei de 	看來沒得	c=1 d=1 t=11746
kan le 	看了	c=2 d=1 t=6905
kan men gou 	看門狗	c=2 d=1.99501 t=10498
kan na ge 	看那個	c=1 d=1 t=13248
kan ni 	看你	c=2 d=0.100048 t=12144
kan ni xie shen me 	看你些什麼	c=1 d=1 t=1949
kan ni xin qing 	看你心情	c=1 d=1 t=12145
kan qing 	看清	c=0 d=0.1 t=12713
kan qing kuang 	看情況	c=1 d=1 t=6731
kan qing wo 	看清我	c=1 d=1 t=12714
kan shi pin 	看視頻	c=1 d=1 t=4002
kan ta 	看他	c=0 d=0.1 t=2332
kan ta bu shun yan le 	看他不順眼了	c=1 d=1 t=2333
kan ta men 	看他们	c=1 d=1 t=14341
kan tou 	砍頭	c=1 d=1 t=7533
kan wang ke 	看網課	c=1 d=1 t=13492
kan wo 	看我	c=0 d=0.1 t=11204
kan xiao jie jie 	看小姐姐	c=1 d=1 t=16739
kan xiao shuo 	看小說	c=1 d=1 t=11897
kan xin qing 	看心情	c=1 d=1 t=9077
kan yi 	看一	c=2 d=1.90937 t=11643
kan yi xia 	看一下	c=3 d=1 t=15162
kan yu fa 	看語法	c=1 d=1 t=16777
kan zhe 	看着	c=2 d=1 t=14620
kan zhe bie la xia 	看着別落下	c=1 d=1 t=2433
kan zuo 	看作	c=1 d=1 t=6015
kang nai er 	康奈爾	c=1 d=1 t=13356
kang shi fu 	康師傅	c=1 d=1 t=9534
kao 	考	c=7 d=0.118611 t=15674
kao bei 	拷貝	c=1 d=1 t=12081
kao bu shang 	考不上	c=1 d=1 t=6451
kao chuan 	烤串	c=1 d=1 t=9569
kao de 	考得	c=2 d=1.95123 t=13867
kao ge 	考個	c=3 d=1 t=15682
kao le 	考了	c=1 d=1 t=16996
kao lv 	考慮	c=0 d=0.1 t=8472
kao lv de 	考慮的	c=1 d=1 t=6165
kao lv shi 	考慮是	c=1 d=1 t=8473
kao pu 	靠譜	c=1 d=1 t=1461
kao sha 	考啥	c=1 d=1 t=16766
kao shang 	考上	c=1 d=0.101225 t=17032
kao shi 	考試	c=2 d=1 t=16989
kao wan le 	考完了	c=0 d=0.1 t=16992
kao yan 	考研	c=10 d=2.0799 t=17015
ke 	可	c=2 d=1.31654 t=14858
ke 	客	c=2 d=1.16365 t=7805
ke 	課	c=10 d=0.217422 t=14843
ke ai 	可愛	c=2 d=1 t=15434
ke ai de 	可愛的	c=1 d=1 t=14546
ke bian ji 	可編輯	c=1 d=1 t=2272
ke biao 	課表	c=5 d=1 t=14215
ke bie 	可別	c=1 d=1 t=14560
ke bu shi 	可不是	c=1 d=1 t=12619
ke bu yao 	可不要	c=1 d=1 t=11668
ke chao ji 	課超級	c=1 d=1 t=4133
ke cheng 	課程	c=9 d=1.00374 t=16270
ke de 	可得	c=4 d=2.8949 t=10663
ke du xing 	可讀性	c=2 d=1.00033 t=6163
ke duo 	可多	c=0 d=0.1 t=12617
ke duo le 	可多了	c=1 d=1 t=12618
ke duo me 	課多麼	c=1 d=1 t=2283
ke fang wen 	可訪問	c=1 d=1 t=5689
ke fu 	客服	c=1 d=1 t=17082
ke gong 	可供	c=1 d=1 t=283
ke hu duan 	客戶端	c=1 d=1 t=17286
ke ji 	科技	c=1 d=1 t=1889
ke jian 	可見	c=0 d=0.194649 t=5693
ke kao xing 	可靠性	c=0 d=0.1 t=5253
ke ke 	可可	c=1 d=1 t=15332
ke ke ai ai 	可可愛愛	c=1 d=1 t=11557
ke lian 	可憐	c=1 d=1 t=16791
ke long 	克隆	c=0 d=0.1 t=1875
ke long ben xiang mu 	克隆本項目	c=1 d=1 t=1876
ke mei 	可沒	c=0 d=0.1 t=2960
ke mei sha 	可沒啥	c=1 d=1 t=2961
ke mu 	科目	c=1 d=1 t=4667
ke neng 	可能	c=24 d=2.00342 t=17751
ke neng shi 	可能是	c=1 d=1 t=8242
ke neng xian zai 	可能現在	c=1 d=1 t=2295
ke ren 	客人	c=0 d=0.1 t=2266
ke shi 	可是	c=2 d=0.1 t=15278
ke shi hua 	可視化	c=3 d=1 t=15280
ke shuo 	可說	c=1 d=1 t=8290
ke tai 	可太	c=1 d=1 t=1166
ke tang 	課堂	c=1 d=1 t=17890
ke tong 	可通	c=0 d=0.1 t=4542
ke tong guo 	可通過	c=1 d=1 t=4543
ke xian 	可先	c=0 d=0.1 t=17353
ke xian fa xian 	可先發現	c=1 d=1 t=17354
ke xing 	可行	c=1 d=1 t=2087
ke xing xing 	可行性	c=1 d=1 t=4537
ke xuan 	可選	c=1 d=1 t=3491
ke xue 	科學	c=5 d=1.00103 t=15586
ke xue yu ji shu 	科學與技術	c=1 d=1 t=5229
ke yan 	科研	c=1 d=1 t=13727
ke yi 	可以	c=94 d=4.21821 t=17926
ke yi chong zai 	可以重載	c=1 d=1 t=13026
ke yi de 	可以的	c=1 d=1 t=11286
ke yi dui 	可以對	c=2 d=1 t=5241
ke yi fan ying 	可以反映	c=1 d=1 t=11990
ke yi jie ni 	可以借你	c=1 d=1 t=14309
ke yi kan dao 	可以看到	c=1 d=1 t=16621
ke yi kan kan 	可以看看	c=1 d=1 t=2540
